Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.213551,-123.100807,2021-03-08T17:00:00Z,PM2.5,5.8,UG/M3,7.6,24,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.029301,-122.821503,2021-03-08T17:00:00Z,PM2.5,5,UG/M3,5.3,21,1,Lacey-College St,Washington Department of Ecology,530670013,840530670013
47.22634,-122.46256,2021-03-08T17:00:00Z,PM2.5,11.8,UG/M3,10,49,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-08T17:00:00Z,PM2.5,13.1,UG/M3,9,53,2,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.2656,-122.3858,2021-03-08T17:00:00Z,PM2.5,11.6,UG/M3,12.5,48,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.559975,-122.338265,2021-03-08T17:00:00Z,PM2.5,9.2,UG/M3,7,38,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-08T17:00:00Z,PM2.5,9.3,UG/M3,9.1,39,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T17:00:00Z,NO2,37,PPB,37.3,35,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T17:00:00Z,PM2.5,7.8,UG/M3,13,33,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T17:00:00Z,NO2,24,PPB,24.93883,23,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.498535,-122.278385,2021-03-08T17:00:00Z,PM2.5,7.6,UG/M3,8.6,32,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.753633,-122.277192,2021-03-08T17:00:00Z,PM2.5,5.4,UG/M3,5.5,23,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-03-08T17:00:00Z,PM2.5,11.2,UG/M3,9,47,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-03-08T17:00:00Z,PM2.5,9.3,UG/M3,7,39,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.213551,-123.100807,2021-03-08T18:00:00Z,PM2.5,5,UG/M3,4.3,21,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.22634,-122.46256,2021-03-08T18:00:00Z,PM2.5,7.9,UG/M3,4,33,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-08T18:00:00Z,PM2.5,11.5,UG/M3,10,48,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.2656,-122.3858,2021-03-08T18:00:00Z,PM2.5,10.2,UG/M3,8.8,43,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.559975,-122.338265,2021-03-08T18:00:00Z,PM2.5,7.6,UG/M3,6,32,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-08T18:00:00Z,PM2.5,9,UG/M3,8.6,38,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T18:00:00Z,PM2.5,7.4,UG/M3,7,31,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T18:00:00Z,NO2,31,PPB,31.6,29,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T18:00:00Z,NO2,28,PPB,28.35359,26,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.568236,-122.308628,2021-03-08T18:00:00Z,PM2.5,5.1,UG/M3,7,21,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.498535,-122.278385,2021-03-08T18:00:00Z,PM2.5,7.3,UG/M3,7.1,30,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.386101,-122.230202,2021-03-08T18:00:00Z,PM2.5,11.6,UG/M3,12,48,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-03-08T18:00:00Z,PM2.5,7.1,UG/M3,5,30,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.22634,-122.46256,2021-03-08T19:00:00Z,PM2.5,5.9,UG/M3,4,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-08T19:00:00Z,PM2.5,8.7,UG/M3,6,36,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.2656,-122.3858,2021-03-08T19:00:00Z,PM2.5,7.2,UG/M3,4.2,30,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.559975,-122.338265,2021-03-08T19:00:00Z,PM2.5,7.3,UG/M3,7,30,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-08T19:00:00Z,PM2.5,8.7,UG/M3,8.2,36,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T19:00:00Z,NO2,31,PPB,31.6,29,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T19:00:00Z,PM2.5,6.2,UG/M3,5,26,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T19:00:00Z,NO2,24,PPB,24.15021,23,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.498535,-122.278385,2021-03-08T19:00:00Z,PM2.5,7,UG/M3,6.8,29,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.386101,-122.230202,2021-03-08T19:00:00Z,PM2.5,12.8,UG/M3,14,52,2,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-03-08T19:00:00Z,PM2.5,6,UG/M3,5,25,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.592675,-122.627397,2021-03-08T20:00:00Z,PM2.5,5.5,UG/M3,8,23,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-03-08T20:00:00Z,PM2.5,5.4,UG/M3,5,23,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.2656,-122.3858,2021-03-08T20:00:00Z,PM2.5,5.3,UG/M3,3.5,22,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
