Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.5297,-122.3203,2021-02-16T21:00:00Z,PM2.5,6.5,UG/M3,6.7,27,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.568236,-122.308628,2021-02-16T21:00:00Z,OZONE,24,PPB,25.6736,22,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
48.055,-122.175797,2021-02-16T21:00:00Z,PM2.5,5.8,UG/M3,6,24,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.5297,-122.3203,2021-02-16T22:00:00Z,PM2.5,7,UG/M3,7.5,29,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.568236,-122.308628,2021-02-16T22:00:00Z,OZONE,24,PPB,26.118,22,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
48.055,-122.175797,2021-02-16T22:00:00Z,PM2.5,5.4,UG/M3,5,23,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.22634,-122.46256,2021-02-16T23:00:00Z,PM2.5,5.3,UG/M3,7,22,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.5297,-122.3203,2021-02-16T23:00:00Z,PM2.5,6.6,UG/M3,6.3,28,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.22634,-122.46256,2021-02-17T00:00:00Z,PM2.5,5.6,UG/M3,6,23,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.5297,-122.3203,2021-02-17T00:00:00Z,PM2.5,6.2,UG/M3,5.8,26,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.5297,-122.3203,2021-02-17T01:00:00Z,PM2.5,5.5,UG/M3,4.6,23,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.753633,-122.277192,2021-02-17T01:00:00Z,PM2.5,5,UG/M3,6.9,21,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.4902,-121.772697,2021-02-17T01:00:00Z,PM2.5,5.4,UG/M3,7.2,23,1,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T02:00:00Z,PM2.5,5.1,UG/M3,6,21,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
